day,average_waiting_time
1,396.5318744409635
2,246.5148716456986
3,235.68026834234155
4,228.85434668408274
5,226.08877381422872
6,230.35306927438575
7,233.25699185710533
8,246.41358687741243
10,229.265944341545
11,225.65276195086662
12,224.40468798627612
13,255.17599322195403
14,239.22308233638282
15,247.49345781069232
17,268.5346481777792
18,251.55102299494047
20,240.5772885527869
21,231.90770494488552
22,272.02203820618143
23,243.43761253646377
25,266.6804386133228
26,277.49287089443135
27,247.32448989998323
28,234.81737623786302
30,261.2912811176952
31,242.56764282565965
32,236.93431696586904
34,254.6833639623887
36,254.2460334757214
37,227.33985420001852
38,248.65506923045416
